,node,embedding
12,2172,"[ 2.74448220e+02 -6.80831640e+01 -1.25324506e+00  8.19395177e+01
 -2.10193798e+01 -4.37054942e+01 -1.21414898e+01 -2.87270642e+01
 -2.90727539e+01 -6.93018372e+00 -2.72369644e+00 -1.29301469e-01
  1.11139575e+01 -2.16345536e+01 -4.60190248e+00 -1.25528226e+01
  5.80739991e+00  9.67110629e+00  1.61067518e+00  5.88389994e+00
 -3.42656146e+01  2.90207973e+00  2.02562337e+01  1.03184920e+01
 -3.11576565e+00  2.96053922e+00 -4.49311620e+00  2.44749169e+00
 -2.34156258e+01  1.51684166e+00 -1.60592453e+00  1.36441452e+01]"
13,2351,"[ 7.61468544e+02 -1.45777542e+02 -3.91824368e+01 -8.15802576e+01
  8.20240694e+01  1.12439946e+01 -1.18696074e+02  1.05281097e+02
 -1.26938686e+02 -1.75485514e+02 -4.23170790e+01 -1.08252380e+01
 -2.07587502e+01  2.48875963e+01  1.13008202e+02  4.73118966e+00
 -3.19233933e+01 -6.14540916e-01  1.49639538e+02  2.22014500e+01
 -5.14912495e+00  6.28186947e+00 -4.25239249e+00 -8.89627483e+00
 -6.26939578e+01  2.36595723e+01 -3.66628616e+00  9.91973322e+01
  3.48357817e+01  6.29136455e+00  4.43478134e+01 -5.65794796e+01]"
14,3350,"[ 3.92389673e+01 -3.12003664e+00  1.35358902e+00 -5.43489645e+00
  1.57330412e+00 -2.41656091e+00  6.60544136e+00 -4.63606384e+00
 -8.92047108e-01 -1.42371304e+00  1.07641856e+00  4.08799639e+00
 -3.73627287e-01  1.90595752e+00  6.75751547e+00  3.39326205e-01
  4.33538341e+00  1.51547457e+00 -5.30528143e+00  1.66700508e+00
 -4.99808584e+00 -1.47336492e-01  3.45795252e+00 -2.15285737e-01
 -2.46194508e+00  2.90594057e+00 -3.61211857e-02 -2.20459930e+00
  1.70512260e+00  3.33829128e-01  3.96240185e+00 -5.11728563e-01]"
15,3554,"[ 478.37962688 -113.43500883 -103.94998254   97.28317974   18.1860408
  -63.18907774 -256.31084104 -103.82438994   10.44152182  171.34345206
   17.68319443    8.14317491   10.16364428    8.73208748  -64.52341992
   13.30518813  -10.97322364   -5.20245156   20.49278748    2.05731544
   -9.57754015  -70.65981909   -5.05528807    8.08903237  -12.52544121
   35.93698135   19.59728959   26.62603957   10.89972911    1.66803025
   10.87414462   17.07211524]"
16,3857,"[305.11579973 -63.90782271  -2.61429455 -10.10378953 -11.82557523
  -2.18064569   3.14204158  56.1213052  -22.36137299 -32.88305777
 -32.03835926  -2.6196972    3.61579194  13.58253631 -16.36644046
 -14.72294836  15.31581631  -7.63720453  19.85957787  -2.80896948
  24.74588332   8.43778714   7.79587776 -16.11411461 -70.18135366
  22.62252623  16.68892336  -7.18398265  18.12122695   0.9451929
  19.76719756  -8.054211  ]"
17,3978,"[ 1.54773526e+03  1.79529103e+01  7.13977950e+01  1.07035314e+03
 -2.08240537e+02 -1.12574771e+01  2.83266100e+02 -1.81206654e+01
  1.75187814e+02 -1.26992026e+02 -2.26076623e+02  3.69764272e+01
  4.98846638e+02  3.92880826e+02  1.52093136e+01  2.56633971e+02
 -4.48759324e+00 -5.83235918e+01  5.91667524e+01  1.59271545e+01
 -3.71247988e+01 -4.15041583e+01 -1.26283784e+00 -3.92866803e+01
 -1.71106740e+00 -1.17349159e+01 -1.04908279e+01 -2.70466704e+01
 -2.40864608e+01 -1.29271409e+01 -6.96951289e+00  2.04489999e+01]"
18,5249,"[ 6.66708816e+02 -5.10951655e+01 -1.28360327e+02 -1.14656733e+01
 -1.14763352e+02  1.82564019e+02  2.12285420e+01  6.27536611e+01
 -3.32214803e+01 -5.66579650e+00 -2.67015677e+01 -1.83767518e+01
  8.72445966e+00 -1.09412202e+01  9.93068086e+01 -5.52876185e-01
  7.81465076e+01 -8.85872053e+00 -7.00827659e+00 -1.12814146e+01
  9.18154586e+00  1.70453150e+01  5.96370320e+00 -2.23343892e+01
  2.18942473e+01  9.16747555e+00 -1.85522302e+01  2.42000323e+00
 -7.37852414e-02 -7.09836579e+00  3.16278412e+00 -2.06452826e+00]"
19,5648,"[2259.19064937 -516.49362602  730.95769173 -337.04728024  -40.31119912
 -197.92935402 -142.8656607  -128.87926037  -88.8954411  -132.15121757
  -31.59691176 -464.30978505  291.27014947   86.2848393   -41.07013634
 -315.56497005  -30.37129943   95.26234597   11.90441041 -112.71896279
  113.42684739   75.55941596  -14.1740548    50.84410356  -27.28734889
   21.75399962   42.16621776  -36.67427816    3.8818903   -52.81475704
   88.78926637   15.62662057]"
20,145,"[ 3.98863893e+01  2.97137519e+00 -1.40624281e+01  3.74686524e+00
 -1.49721812e+00  1.76687236e+00  1.59219805e+00  1.89029912e+01
  6.98982658e+00  2.31788411e+00 -3.04618496e+00 -5.75192906e-01
 -3.19122903e+00  1.54259895e+00  7.31069716e-01 -1.72461391e+00
  6.61487291e+00  6.65368678e-01 -2.11015080e+00 -1.66631126e+00
 -1.72883855e+00 -3.40244810e-02 -1.67217897e+00 -3.91126865e+00
  2.03799553e+00  3.45084544e+00 -2.60012003e+00  6.00241655e-01
 -7.80033849e-01  1.85269076e+00 -2.62500286e+00  2.74444114e-01]"
21,163,"[ 52.30128463  -5.24694567 -14.56645359 -11.98020062   0.58087576
   2.49226552  -1.26066138   3.87250343   2.90459102  -4.6970103
   2.92869574   1.02668092   2.26481469   2.142502    -0.85186357
  -5.45293639  -1.72509825   0.4068981   -5.85784096   1.15170507
  -2.02250157  -3.5906291   -1.35000231   0.63804843  -1.39610376
   0.25275329  -0.74300064  -2.83402583   0.74600638  -0.329501
  -0.87690159   1.83828882]"
