,node,embedding
13,2351,"[26.73723764  8.62639555 -3.43562866 -3.50096338  4.25276076  2.2114913
 -1.12242337 -2.28810472 -0.92726792 -0.25577794 -4.07561471  1.22936465
  1.85968647  3.81508267 -2.34085127  4.59197637 -3.02995371  0.18743745
 -1.22045407 -1.30118155 -1.57866431  2.10485302  0.74848459  0.66148482
 -1.8922403   1.84230928  2.25821564  0.67904881 -0.22850955  0.49973648
  2.59336009  0.44609863]"
14,3350,"[ 7.9575291  -3.60585049 -1.88694068  0.66470761 -1.77710738 -0.15370935
  0.64478204 -1.31612301 -0.21990816  2.73428412  0.67542891 -0.39572497
 -0.28123434  0.03045665  0.64667222  0.11973993 -0.12226054 -0.30783369
 -0.34845687  1.19117077 -0.7128648  -0.0626041  -0.8616093   0.3799301
  0.24725455  0.56939173  0.02547731 -0.48735102 -0.06504217  0.61118449
  0.41804197  0.2209449 ]"
15,3554,"[19.09999205  1.85843421  5.37015725 -1.94893985  4.98807124 -5.26701411
  2.23414499 -2.49722964 -1.75158419 -3.88950975  0.75218767 -0.80399077
  0.37423562  2.36440526  3.44072719 -2.94270326  1.15015258 -3.27633234
 -0.13880037 -1.00765033 -0.62385393  1.60706745 -2.10374544 -0.0242388
  0.43232691  0.4473365   0.44248438 -1.6238306   0.53017352 -0.40385676
 -0.96652176 -0.24961559]"
16,3857,"[21.7408132   3.53642707 -1.76668601 -2.70172787  1.93622679  2.32627924
 -2.68074978  0.87774385 -0.06702461  0.10838766 -0.76434088 -2.21793034
  6.6576033   1.48117119 -1.5085199   1.82133376  1.0017873  -2.34596526
 -1.47939906  0.4120286   0.78864094 -1.76601644  0.2695107   1.38635551
 -0.61965298 -0.5297911  -0.63524151 -1.15942179  2.44960486  1.65880425
 -1.88026481 -2.82712295]"
17,3978,"[28.56282457 12.20263943  9.67868128 -0.40833059 -3.18872571  5.44735101
  1.06224704 -1.48210654 -7.27749361  1.62704472  9.71580684 -1.64615855
  1.47088907 -4.79681502 -3.09425846  2.83296205 -2.85092416 -1.93450784
  0.93711558 -1.13753573  3.67670989  1.59343831  1.97202562 -3.2660765
  2.29453807  4.09297703 -3.23443746 -2.69460678 -1.67635636  0.57954011
  2.47893273 -1.81563406]"
18,5249,"[27.8053771   9.66911802  0.178881   -2.89574633  0.73106821 -1.31448465
  1.25107145 -1.0953795  -1.55549821  1.9302825  -2.38464358 -1.72408029
 -1.19606189  1.48652096 -0.97235049 -0.4234048  -1.23666906  2.55638535
  0.87163811 -4.75576627 -0.96941319 -1.31742133  0.95485619  0.32475784
 -1.43755581  0.729548    0.29817374  2.01139059 -1.36563866  2.08892459
  0.13959569  0.82047111]"
19,5648,"[ 3.36887377e+01  1.85223417e+01 -4.23947370e+00  7.36654108e+00
  1.67737334e+00  3.79526427e+00  4.82123990e+00 -2.04164200e+00
  9.65100604e+00 -4.55724557e-01 -9.09856279e-03  2.02207780e+00
  4.11082944e-01  2.02729419e+00  1.17112472e+00  4.82919750e-01
  2.57228669e+00  1.11769214e+00  1.96123873e+00 -1.92683851e+00
 -1.74486171e+00  2.56845815e+00 -1.87149952e-01  3.79530381e+00
  3.79517983e+00 -8.72379204e-01  3.59539202e+00  2.78235696e-01
  2.99020364e+00  1.08897042e+00  1.32591688e+00 -3.23266669e+00]"
20,145,"[ 8.71963606 -3.58614566  1.57822404 -1.31584188  2.26381438  1.08730524
 -0.79861726  2.14428769  1.0702597   1.24407489  0.09292252 -1.33767657
 -0.67500046 -0.44440323  0.70017361  0.38266624  0.48874631 -0.09409043
 -0.67672889 -0.53101172 -0.11583784 -1.12249883 -0.3162802  -0.46576801
 -0.31036721  0.50385766  0.67822406 -0.32534193  0.73180317  0.24253699
  0.31277166  0.16597433]"
21,163,"[ 9.90831533 -2.6643154  -2.72972163 -2.8326618   2.10033183  0.02765867
 -0.01171531 -0.31124536  0.04961268  1.96775109  1.5575666  -0.61120266
 -1.0122798  -0.73715173  0.47641634 -0.96146994  1.17669524  0.35922948
 -0.12805956  0.47491975  2.07905705 -0.15908503  1.22202672  0.01018259
 -0.5270104  -1.73824919  0.25138892 -0.83241485 -0.27419418  0.10692783
  0.69509148 -0.21020127]"
22,203,"[26.20661434  7.15725312  0.41357483  0.50391092 -1.21024145 -2.46302662
 -0.11267063 -0.06071389 -0.15136726  0.0439384  -0.69171612 -3.47508083
  1.23207252  0.17515813 -1.12401963 -3.28371275 -1.4224709   1.24757737
  3.1235795  -2.91620329 -1.20260291 -1.38117734 -0.18863444 -1.24221251
 -1.14547298  0.51457853  0.59714321  1.02000004 -0.24684939  0.72858647
 -0.92655664  4.0124814 ]"
23,628,"[24.13705221  5.81822445 -2.72807243 -1.88201027 -1.1430327  -5.08780185
  2.51726132 -2.33574796  0.42949562  4.5149136  -2.82693165  0.56393706
 -1.26420495 -1.0645831   1.0256969  -1.8179584   0.42747878 -0.66372411
 -0.09737005 -4.53245187  0.46645976  1.36964626  0.52411966 -1.35836987
  0.79660823 -2.22329769 -0.3854568   3.75949978  0.79341105  0.03576618
  0.28470088  0.97933922]"
24,1198,"[ 2.79378259e+01  1.00085526e+01  1.10637857e+00 -3.49518118e+00
  5.22788495e+00  1.46889160e+00 -1.26309374e+00  2.76039073e+00
 -3.43149639e+00  1.05658693e+00 -2.28594831e+00  1.17993301e+00
  9.86152386e-01  5.93178567e+00 -2.82112984e+00  1.56482265e+00
  4.85311711e-01  5.83879780e-01 -2.39124088e-01  2.04040864e+00
 -1.88455588e-01 -1.95304019e-01  9.00598135e-03 -4.26439391e-01
 -1.56763501e+00  5.10686402e-01 -1.75125947e+00  2.05978956e+00
  1.57745489e-01 -6.16594843e-01 -8.42419420e-01 -4.88088018e-01]"
25,1807,"[21.01605458  2.18848868  2.89240747  0.50426486  1.66384665 -0.33388746
 -3.09383656 -0.47683505 -1.19360439  1.8536255   1.18706108 -0.17528202
  1.98263164  0.63577402 -1.20298891  0.38456879 -1.39213087 -0.82247338
 -2.09468109 -0.46080876 -0.26371201 -1.52687929  0.91191508 -1.8715681
 -1.40948093 -0.32685295  0.40346244 -0.21634167 -0.39785485 -1.22797039
 -1.74199139 -2.11230799]"
26,1955,"[20.07884414  1.42811475  0.38545288 -3.72460636 -2.27633233  0.10852349
 -3.33847577  0.29031846 -0.23280378  0.57336392 -0.69240672  2.68263005
  1.46768445 -0.70074316 -1.62722045  0.87890064  4.2242628   1.37858555
 -0.92745321 -1.04515991  1.69148532 -2.56179499  0.02121876  0.70691785
 -1.24318815 -0.87386422  0.34976116  0.12039774 -0.37942923 -0.67524847
  2.1938965  -0.62409281]"
27,5377,"[ 3.67237559e+01  2.41010288e+01 -3.18625259e+00  1.04987469e+00
 -1.07148692e+00  5.91989739e+00  1.12012782e+01  4.50711331e+00
  1.12161113e+00 -7.37824912e-01 -6.32374539e+00  3.54064207e-01
 -8.77521894e-01 -4.16451793e+00  3.62872281e+00 -1.27887242e+00
 -2.71385557e+00  4.28042607e+00 -4.28535220e-01  5.36988225e+00
 -2.44003972e+00 -1.82314415e-02 -2.54678996e+00  2.59569612e+00
 -3.40446635e+00 -2.24833194e+00  2.15075285e+00 -4.12244850e-01
  1.03408940e+00  2.03121747e+00 -1.88497372e+00  2.87104990e+00]"
28,5459,"[22.78672759  4.49630335  4.52458717 -3.70269201  4.39231775 -2.19778401
 -1.07477618  2.75954311 -3.29032236 -0.19187835 -0.24223998 -0.78278362
 -1.58317195  3.16695704 -0.90384592 -1.21072216  0.29194046 -0.36895844
  1.19806787  0.29253419 -0.43744376 -0.76460056 -0.12795487  1.98553017
  0.09612895  0.72920814 -0.85189358  0.03110819 -0.18536096  0.53069216
  0.51296181 -0.78218324]"
29,6352,"[ 2.36692590e+01  5.93732374e+00 -7.67879146e+00 -9.65882416e-01
 -5.57734450e+00 -2.55918155e+00  1.45555012e+00  8.65051787e-01
  1.70363513e+00  1.81821635e+00 -4.40865853e+00 -1.71764430e+00
  6.29843688e-01 -5.10646757e+00 -1.24106566e+00 -3.20264718e+00
  6.51746968e-01 -2.03710685e-01  4.12504358e-01 -8.59469695e-02
  1.98858323e+00  1.64079762e+00  2.36601439e+00  1.12484405e+00
 -2.94684670e-01 -1.45203226e+00 -1.41204683e+00 -1.20569864e-02
 -6.66141863e-01  1.71598516e+00 -2.27369012e+00  3.83222991e-02]"
30,826,"[ 3.04905716 -1.8073142  -0.89194393  0.31276728 -0.22590591  0.98853042
  0.21729036  0.22790744 -0.54476212  0.47339802  0.09616441  0.66984519
  1.42780766  0.30742973  0.362584   -0.18909681 -0.49178769 -0.64721848
 -0.47208864 -0.1096402  -0.6091321   0.5474933  -0.46045751  0.32805764
  0.71051832  0.02031986  0.06622066  0.60843477 -0.11596422  0.22923983
 -0.21490156 -0.18621954]"
31,2420,"[ 3.29829086e+00 -2.07567850e+00 -1.09699607e+00 -1.56937766e-01
 -4.60549413e-01  7.12887849e-01  3.38496753e-01  9.47109825e-01
  2.43170447e-03  2.58049630e-01  7.50461772e-01  1.40622613e+00
  1.35717045e+00  3.40451025e-01  3.84969810e-01 -2.88620548e-01
 -1.10746669e-01 -4.82311108e-01 -8.12606214e-02 -3.56270638e-01
 -5.23146122e-01  2.22816093e-01  5.72902019e-01  1.88317639e-01
 -5.02106531e-01 -4.64748350e-01 -3.44603864e-01  4.72555928e-01
 -9.62676917e-01  1.07847078e+00 -2.13068748e-01 -2.25397055e-01]"
32,2533,"[ 1.31228624e+01 -2.69341174e+00 -3.32997484e+00 -8.78085011e-01
  3.93008184e-01 -1.94423939e+00 -4.24915434e-01  4.78704577e-01
  2.41844644e-01  1.67226979e+00  4.02585059e-01  1.82363322e+00
 -1.11102496e-02 -6.43808487e-01  3.30433688e-01  9.87957078e-01
 -3.09162908e-01 -2.35626725e+00  1.40133220e+00  3.91305757e-01
 -6.78423487e-01 -4.27998885e-01 -1.48317980e-01 -1.00126512e+00
  8.82321281e-01  1.17495113e-03 -6.52144494e-01 -6.50752604e-01
  3.93495434e-01  6.20173723e-01 -4.60795635e-02 -5.80126341e-01]"
33,26,"[ 4.99359735 -2.63343349  3.20002503 -0.6699814  -1.95152333  1.89446408
 -0.73230486 -0.22277729  1.35992842 -0.2107697  -1.61974295  0.91949738
 -1.36510927  0.79395902  0.58441322 -0.41591515  0.14431497 -0.20873167
  0.50983212  0.18664854  0.19507276  0.28711453 -0.2963081   0.73536965
 -0.25837154  0.48119347  0.26380805  0.32207606 -0.53926306  0.40198255
 -0.01399969 -0.87274648]"
34,399,"[12.73005801 -1.15432462  8.21094221 -0.35955392 -2.31118296  2.13573136
 -1.71511437 -2.81058994 -0.86868595  0.90165878  1.37900965 -0.19754439
 -2.77300064 -1.16120282 -0.03676288  0.1348077  -1.12606723 -0.61714271
 -0.92733973  0.85429495 -0.68764667  2.34378775  0.47771516  1.62558128
 -0.93574616 -0.56816639  0.82597019  0.02280765 -2.18786253 -0.08051187
 -0.74682134  0.51778759]"
35,530,"[26.60298487  8.29281232 -0.85142317 -3.70192791  0.45232625  1.77809989
 -0.99629456 -1.9362392  -1.01684437  2.0746652  -2.35270274  0.99582564
 -2.60621725  0.2472158  -1.02845728  3.08358466  0.14424777  1.70638039
 -0.35039654 -3.63631089  1.42232971 -1.40930567 -0.83999262  2.25373011
 -0.19649139  0.21146185  0.16173058 -0.31959434 -0.97977254 -1.90806971
  0.75198368 -0.48667492]"
36,791,"[14.14839764 -2.29956119  3.24638738 -2.40444326 -0.90910806  1.67420616
 -3.25025475  1.72960209  0.51927451 -0.01498617  0.51908882 -0.84935023
 -0.74850804 -0.05175179  0.24214045  0.88067291 -0.91136459 -0.31840248
 -1.27658878  0.31513801 -1.64101558 -0.20583609 -2.26464148  0.88187499
 -0.1237894   0.69231378  2.10147604  0.84810716 -0.91802426  0.21052237
  1.02815584 -0.91909678]"
37,1308,"[ 3.54218452e+01  2.11102039e+01  3.35781940e+00  9.82030509e+00
  2.50673258e-02  7.82617273e+00  4.23155704e+00  4.23723026e-01
  5.28015989e+00 -4.65327550e-01  1.18266531e+01 -3.06246902e-01
  2.30622343e-01  1.58114548e-02 -2.22548768e+00  9.27536883e-01
  4.91799779e+00 -3.98923252e+00 -1.36978164e-01  2.28883144e+00
  3.47551222e+00 -2.37985784e+00  9.33652586e-01 -1.42721662e+00
  6.42109154e+00  4.77093864e+00  9.26691113e-02  3.96302156e+00
 -4.24162013e+00 -2.87668721e+00 -1.39962224e+00  3.23212342e+00]"
38,1920,"[16.22419717  0.40147307  9.83309453 -2.24411975 -3.18418386  2.21122914
 -2.30943546 -0.8560186  -2.39655193 -0.79723293  3.00868375  1.24712994
 -0.57657252 -1.42299084 -0.70299101  0.27766915  0.44436015  1.04320805
 -2.44069497  1.41669957 -0.8090735   1.36615885  0.78277959  0.93068653
  1.33311854 -0.92890331  0.26354632 -0.20241418  0.65045594  0.8338609
 -0.44735083  0.44195004]"
39,3483,"[13.18205155 -0.78770094  8.38046902 -0.95637533 -2.74439007  2.60692281
 -1.61611642 -2.13777636 -0.94506704  0.27178817  1.65674036 -0.66256749
 -0.90629363 -0.98509896 -0.01812394  0.07564143 -0.06405158 -1.00678688
 -0.71882504  0.34681513 -0.01595767  2.66915945  0.5300736   1.8778852
 -0.75877837 -0.83300782  1.28511863 -0.70254227 -2.05175568 -0.52590252
 -0.47138816  1.49543728]"
40,4060,"[14.71953919 -0.38788698  8.30088873 -1.04052832 -4.00805562  2.58002541
 -2.32337493 -2.17557436 -2.20045424 -0.01620421  2.54201306  0.01969369
 -0.7851859  -0.57368732 -0.43696206  0.40834437  0.25368159 -0.80394789
 -1.33481677  1.04171884 -0.18641043  3.22317157  0.83862145  2.03289902
  0.36179911 -1.21047345  0.17943219 -0.48636245 -2.26281586 -0.76346015
 -1.0014838   1.20110471]"
41,4506,"[ 1.87662406e+01  7.23050368e-01  3.95238197e+00 -3.18111010e+00
 -7.96603298e-02 -2.80157526e-03 -1.61611897e+00 -2.54567544e+00
 -7.26160931e-01  2.37979711e+00  6.53580644e-01 -4.07171536e-01
 -1.93865324e-01 -2.54288561e-01 -5.71069477e-02  1.02943344e+00
 -5.27743566e-01 -1.59938837e+00 -6.83862469e-01 -1.05298446e+00
 -1.68920536e+00 -4.77805201e-01  4.56277701e-01 -3.22616105e-01
  1.72391489e+00 -1.27064010e+00  1.05883334e+00  9.92586659e-01
  1.44161837e+00 -1.28854635e+00 -1.34747012e+00 -6.10487516e-03]"
42,4672,"[ 2.31029164e+01  6.60899385e+00  1.12771662e+01 -1.29979228e+00
 -4.42939105e+00  5.16876741e+00 -1.63975920e+00 -1.51688008e+00
 -6.48334568e+00  1.66521794e-01  8.30450668e+00 -8.67762926e-01
  1.45927765e+00 -4.48637163e+00 -3.39800188e+00  1.40717467e+00
 -1.42947676e+00 -1.69690911e+00  9.28553982e-01  2.02235546e-01
  2.16347047e+00  3.14992619e+00  2.61030588e+00 -9.55139285e-01
  3.29285821e-01  1.94936643e+00 -1.72830857e+00 -2.07737854e+00
 -9.93160414e-01  1.97501057e-02  5.52474057e-01 -5.16676976e-01]"
43,5816,"[14.2531264  -1.76317796 -0.17115622 -0.62048904 -2.72625637  0.88333952
 -1.64361676 -1.75091332  0.34738792  0.47128522 -0.35111423 -2.16402877
  1.40403204 -0.23650897  1.06534601 -0.22660409  0.68037084 -0.27795738
  0.98372511 -0.08871146 -1.23013026 -0.28230581 -1.49109388  0.10764426
 -0.37600998 -0.1722138   0.2416268  -0.40675077  0.37828068 -0.14528684
  1.94974744 -0.34127279]"
44,6370,"[ 2.4732345  -1.79938798  1.98158077  0.30159414 -0.835457    1.54619288
  0.34827266 -0.61350575  0.61779616  0.34602024 -1.56431174  0.14558634
 -0.71485072  0.59188988 -0.18557768 -0.52266902 -0.19067705 -0.70694871
 -0.4987101   0.31678436  0.47891928 -0.1791243  -0.12550974  0.09676576
  0.28752545  0.42283124  0.03635627 -0.1494573  -0.90035815  0.1171398
 -0.18967829 -0.19365238]"
45,6386,"[17.12289857  0.05104543  8.69300114 -0.36929215 -0.4919257   0.06605113
 -2.60717996 -0.25184884 -2.33662522 -0.55501069  2.08473391  0.32953608
 -0.59952979 -1.18594666 -0.59273145  0.13384748  1.87455573  2.10550518
 -2.59427991  0.81037524 -1.75841251 -0.33253862  1.09803071  0.04224309
  0.41714335  0.58585273  0.63805053  0.20475516 -0.80301283 -0.18366246
 -1.58345807 -0.57933761]"
46,56,"[ 6.61927804e+00 -3.14031131e+00 -3.01891666e+00 -1.43245154e+00
 -1.50973245e+00  3.43077693e-01  7.53852958e-01  3.34724184e-01
  9.82907807e-02  7.69547256e-01  1.49904490e+00  1.74778070e+00
 -7.58979711e-01  5.18766531e-01  6.02852491e-01 -1.72821875e-01
 -5.03689928e-01 -8.14130222e-01  5.27904979e-01  5.61394111e-03
 -8.38290433e-02 -3.01304288e-01 -7.06847142e-01 -1.10701899e+00
  2.42293437e-01  4.54509202e-01  8.99748941e-01  2.18039520e-01
 -5.10009895e-01  6.69571222e-01 -3.90545031e-01  4.80523365e-01]"
47,154,"[23.80512271  4.92881448  2.44489661 -3.18824119 -3.15103274  1.1534361
 -1.88710115 -2.55033556 -1.83587156  0.9296462   1.05479163  0.57859114
  3.09389453 -1.99107667 -2.04749754  2.05346739  3.20907171  1.87435343
 -1.99640143 -2.17750476  3.03056578 -1.84273223  0.13581454 -0.44456412
 -1.7895813  -1.74685951  0.31033966 -1.21817543  0.03172714  1.27408757
  0.69322005 -0.47126297]"
48,2122,"[36.49071941 23.27645007  0.11318093  0.93588915 -2.18811725  4.84634005
  9.96504081  4.77824677 -1.76346082  0.94974102 -2.28337978  0.92769695
 -2.21025449 -4.74960841  1.80196347 -3.12896194 -1.67060539  0.95395168
 -1.24519074  3.31592998 -1.43242509 -1.6433295  -2.79392639  0.32159538
 -3.2169916  -2.75705818 -1.19288625  0.45703153  0.71308845 -2.35783735
  0.51985081  5.23338205]"
49,2966,"[ 5.12373976e+00 -2.23379136e+00 -2.08495449e+00  1.29519612e+00
 -6.39687625e-01  1.00476356e+00 -1.81585246e-02  2.77853601e-01
 -1.03639798e+00 -4.89876667e-01  3.28017505e-01  7.72351186e-01
  2.61380459e-01  6.91377823e-01  2.34328269e-01 -1.76603349e-03
  1.52910465e-01 -3.35499961e-01 -6.50131018e-01 -3.02640144e-01
 -4.93480901e-01  2.15255046e-01 -1.90484885e-01 -2.59147761e-01
  4.33543773e-01 -6.04099391e-01 -3.54023265e-01  9.68466359e-02
  4.53998357e-01 -4.79849481e-03 -5.79420139e-01 -2.35247354e-01]"
